common_name,year
Malay squirrel (unidentified),2001
Vulture (white-headed),2010
Dove (emerald-spotted wood),2010
Oryx (beisa),2004
Sparrow (house),1988
African red-eyed bulbul,1997
Grizzly bear,1996
Ring-tailed gecko,2009
Carpet python,2006
Hornbill (southern ground),2000
Campo flicker,2009
Steller sea lion,2007
Curlew (black),2008
Silver-backed fox,1992
Crested barbet,1995
Woodpecker (downy),2009
Phalarope (red-necked),1993
Tayra,1994
Hyena (spotted),2001
Blackbird (red-winged),2004
Long-billed corella,1986
Cormorant (flightless),2007
Lesser double-collared sunbird,1990
Kori bustard,2002
Crow (house),1996
Red-necked phalarope,2003
Killer whale,2006
Goliath heron,1996
Trumpeter (green-winged),2004
Oribi,2012
Hedgehog (south african),2007
Cow (scottish highland),2004
Laughing dove,2000
Heron (grey),1989
Grebe (little),2012
Savannah deer,1999
Heron (little),2006
Moccasin (water),2009
Vicuna,1976
Goose (snow),2012
Penguin (little blue),2000
Waved albatross,2004
Kaffir cat,2005
Dama wallaby,1997
Ringtail (common),2001
Rat (desert kangaroo),1997
African buffalo,2002
Cardinal (red-capped),2003
Lappet-faced vulture,1997
Sage hen,2007
Paca,1987
Baboon (gelada),2002
Yellow-headed caracara,2003
Common palm civet,2002
Burrowing owl,1977
Lizard (frilled),2009
Tortoise (indian star),2011
Snowy egret,2004
Phalarope (northern),2011
Sacred ibis,2008
Sloth (two-toed),2012
Brocket (red),2003
Stone sheep,1993
Duiker (gray),2004
Wolf spider,2009
Arctic tern,2010
Bulbul (black-eyed),1994
European stork,2009
Saddle-billed stork,2001
Red howler monkey,2007
American woodcock,1998
Giant otter,2010
Yellow-billed hornbill,1999
Dragon (ornate rock),2010
Heron (green-backed),2004
Three-banded plover,1972
Alligator (american),2002
Long-nosed bandicoot,1986
Hawk-eagle (crowned),2005
Blue-tongued lizard,2006
Brush-tailed phascogale,1999
Lapwing (unidentified),1998
Hawk-eagle (crowned),1991
Spotted deer,2003
Devil (tasmanian),2002
Nighthawk (common),1984
Rhinoceros (square-lipped),1995
Lizard (blue-tongued),1985
King cormorant,1991
Beisa oryx,2005
African clawless otter,2012
Cliffchat (mocking),1996
Fox (cape),2009
Great horned owl,2009
Peccary (white-lipped),2008
Gulls (unidentified),1998
Capuchin (weeper),1995
Asiatic wild ass,1999
Short-beaked echidna,1992
Neotropic cormorant,2002
White-browed sparrow weaver,1995
Blue and yellow macaw,1997
Brolga crane,2004
Dove (rock),1994
Common duiker,1986
Mynah (indian),2009
White-necked stork,1992
Kangaroo (eastern grey),2004
Cobra (egyptian),1994
Gemsbok,2009
Monitor (two-banded),1996
Dunnart (fat-tailed),1966
Racer (blue),1992
Feathertail glider,2002
Sun gazer,2002
Cape raven,2003
Fox (bat-eared),2003
Brazilian otter,1997
Fox (arctic),2011
Crab-eating fox,2009
Antelope (four-horned),2011
Red-headed woodpecker,2010
Lion (california sea),2011
Red deer,2012
Bird (red-billed tropic),1993
Mouflon,2004
Bee-eater (unidentified),2007
Roseate cockatoo,1999
Vulture (white-headed),1989
Glossy ibis,2005
Ox (musk),2004
Steller sea lion,2011
Hen (sage),2008
Kangaroo (western grey),1999
Bear (black),2002
Barbet (black-collared),1985
Barbet (levaillant's),2010
Rat (desert kangaroo),2012
Red hartebeest,2003
Goose (spur-winged),1992
Phalarope (grey),1992
Francolin (coqui),2003
Sparrow (rufous-collared),2003
Snake (racer),1994
Starfish (crown of thorns),2006
Comb duck,1991
North American river otter,2010
Stanley bustard,1997
Scarlet macaw,2006
Goose (egyptian),1996
Steenbuck,2010
Chacma baboon,2012
Dromedary camel,1993
Koala,2011
Brocket (red),2006
Red lava crab,1993
Red sheep,2003
Golden-mantled ground squirrel,2003
Common eland,2009
Cockatoo (slender-billed),2003
Jacana (african),1990
Chipmunk (least),2003
Caribou,2004
Phalarope (red),2010
Slender loris,2006
North American porcupine,1994
Harbor seal,1986
Jacana (african),1998
Serval,1992
Southern hairy-nosed wombat,2005
Stork (white-necked),2005
Madagascar hawk owl,1995
Egyptian goose,2005
Clark's nutcracker,1993
Southern elephant seal,1997
Water monitor,1987
Green-winged trumpeter,2002
Armadillo (seven-banded),2011
Striped hyena,1999
Common zebra,2008
Otter (cape clawless),1992
Ring-tailed lemur,2007
Reindeer,1993
Vulture (king),2000
Dog (bush),2001
Cat (native),2003
Dingo,2008
Little brown dove,1996
Monitor (white-throated),2006
Buffalo (wild water),2008
Gull (kelp),2011
Black-crowned night heron,2011
Vine snake (unidentified),2008
Dolphin (common),1993
Lion (asian),2004
Sage hen,2008
Ringtail,2010
Ocelot,2000
American buffalo,2010
Mongoose (javan gold-spotted),2003
Sloth bear,1988
Red-breasted cockatoo,2005
Goose (cereopsis),2007
White-faced tree rat,1993
Eagle owl (unidentified),1992
Hawk (red-tailed),1986
Indian tree pie,2004
Worm snake (unidentified),2001
Scarlet macaw,2005
Turtle (unidentified),2008
Creeper (black-tailed tree),2006
Cow (scottish highland),2002
Chacma baboon,1992
Sheep (red),2009
Red phalarope,2003
Dark-winged trumpeter,2012
Vulture (white-headed),2010
Bee-eater (white-fronted),1995
Kangaroo (eastern grey),2004
Starling (cape),2009
Black-capped chickadee,1998
Kaffir cat,1997
Burmese brown mountain tortoise,1992
Owl (white-browed),1984
Gecko (tokay),2001
Pallas's fish eagle,1994
Hornbill (red-billed),1995
Purple moorhen,1995
Yellow-throated sandgrouse,1995
Blue catfish,1993
Pied cormorant,2008
Dassie,1990
Bison (american),1988
Bandicoot (short-nosed),1993
Lory (rainbow),2010
Heron (green-backed),1990
Albatross (galapagos),2012
Frog (unidentified),1994
Wallaby (agile),1997
Red-winged blackbird,2012
Deer (savannah),1998
Gecko (unidentified),2009
Dragon (netted rock),2001
Seal (common),1997
American buffalo,2000
Greylag goose,2012
Yellow-billed hornbill,2011
Falcon (peregrine),1994
Tarantula,2006
Hottentot teal,1996
Common palm civet,2007
Chital,2008
Wapiti (elk),1996
Flicker (field),1992
Giant otter,2008
Sloth (hoffman's),2012
Violet-crested turaco,1998
Mynah (indian),1998
Lemur (grey mouse),2006
Serval,2010
Grey heron,2012
Dingo,2010
Topi,1991
Genet (common),1993
Ground legaan,1999
Flamingo (roseat),2001
Otter (oriental short-clawed),2007
Lion (african),2003
Cook's tree boa,2005
House sparrow,1998
Burmese black mountain tortoise,1995
Langur (gray),1998
Vicuna,2011
Paddy heron (unidentified),2001
Kongoni,1996
Blue fox,1989
Marten (american),2004
Great skua,2000
Deer (red),1977
Stone sheep,2005
Marine iguana,2005
Emu,1995
Southern boubou,1996
Red-winged blackbird,2009
Sheep (american bighorn),1986
Ground monitor (unidentified),1993
White-lipped peccary,2008
Chimpanzee,2010
Curlew (black),2007
Small-clawed otter,2011
Porcupine (tree),1994
Sage grouse,2000
Western spotted skunk,2008
Eagle (white-bellied sea),1968
Giant armadillo,2012
Mallard,1990
Roller (lilac-breasted),2007
Bear (american black),1994
Penguin (galapagos),2008
Red-tailed wambenger,2004
Alligator (mississippi),1988
Wolf (common),1999
Sheathbill (snowy),2009
Civet cat,1995
Ringtail cat,2002
Vulture (bengal),2009
Turtle (snake-necked),1994
Sidewinder,1996
Dragon (komodo),2009
Glider (sugar),1996
European shelduck,2002
Butterfly (unidentified),2008
Monitor (water),1999
Laughing dove,2009
Long-finned pilot whale,1996
Black-necked stork,1990
Striated heron,1986
Dove (mourning collared),2001
Flamingo (lesser),2011
Lizard (desert spiny),1966
Pallas's fish eagle,1992
Goose (cape barren),2000
White-headed vulture,1999
Openbill (asian),1997
Wallaby (whip-tailed),2011
White-fronted capuchin,2012
Black-tailed tree creeper,2009
Jaguar,1999
Cormorant (little),2005
Weaver (chestnut),2004
Squirrel (golden-mantled ground),1995
Cormorant (javanese),2002
Tyrant flycatcher,2000
Constrictor (eastern boa),2009
Ox (musk),1970
Heron (yellow-crowned night),1992
African bush squirrel,2009
Monitor lizard (unidentified),2004
Red-knobbed coot,2005
Frog (unidentified),2006
Crane (sandhill),1992
Boa (columbian rainbow),1994
Brindled gnu,1999
Desert tortoise,1993
Otter (oriental short-clawed),2009
Otter (brazilian),1999
Snowy owl,2000
Fowl (helmeted guinea),2008
Snowy egret,1994
Heron (gray),1992
Snake (buttermilk),2002
African ground squirrel (unidentified),2008
Racer snake,1985
Boa (malagasy ground),2008
Glider (sugar),1995
Otter (small-clawed),2005
Trumpeter swan,2009
Cormorant (great),2005
Mocking cliffchat,2001
Gerbil (unidentified),1968
Bulbul (african red-eyed),2002
Mongoose (yellow),1985
Red brocket,1999
Hawk (galapagos),2003
Hornbill (yellow-billed),2010
Trumpeter swan,2012
Pelican (great white),2011
Marmot (yellow-bellied),1990
Hawk-headed parrot,2002
African clawless otter,1996
Badger (honey),1999
Eastern cottontail rabbit,2009
Sambar,1999
Ornate rock dragon,2003
Cereopsis goose,2008
Spotted deer,2007
Stork (white-necked),2006
Possum (pygmy),2008
Coqui francolin,2009
Tern (arctic),2007
Pine siskin,2010
Green-winged trumpeter,1994
White spoonbill,1970
Wallaby (bennett's),1998
Giant armadillo,2000
Porcupine (indian),1996
Hottentot teal,1985
Desert tortoise,1994
Cape white-eye,1993
Alligator (mississippi),2003
Crowned eagle,2000
Bushpig,1994
Australian brush turkey,2012
Wildebeest (blue),2002
Trumpeter (green-winged),1993
Bleu (red-cheeked cordon),2006
Macaque (pig-tailed),2009
Dog (black-tailed prairie),1998
Australian brush turkey,2012
Cape white-eye,2010
Wolf (timber),2008
Black-tailed tree creeper,1990
Stork (saddle-billed),1987
Wallaby (tammar),2009
Bison (american),1993
Bleu (blue-breasted cordon),2012
Civet (unidentified),2006
Eagle (bateleur),2013
Dove (little brown),1992
Squirrel (thirteen-lined),1997
Common grenadier,2009
Gray langur,2012
Wild water buffalo,2004
Springbok,1989
Flamingo (roseat),2002
Wolf (timber),1995
Blue and gold macaw,1995
Iguana (marine),1988
Sparrow (rufous-collared),1993
Old world fruit bat (unidentified),2007
Sambar,1998
White-winged tern,1985
Macaw (blue and gold),1993
Bandicoot (short-nosed),1995
Pacific gull,2002
White-winged dove,1998
Indian giant squirrel,1994
Phalarope (grey),2010
Laughing dove,1994
South African hedgehog,1998
White-fronted bee-eater,2008
Grouse (greater sage),1998
Brolga crane,2003
European badger,2006
Raven (cape),2003
Insect (stick),2003
Lion (australian sea),2000
Duiker (gray),1976
White-throated kingfisher,2013
Civet (common palm),1991
Heron (goliath),2008
Chital,1990
Cockatoo (roseate),1994
Weeper capuchin,2009
Griffon vulture,1954
Kangaroo (jungle),1967
Magpie (australian),2006
Black spider monkey,2011
Nyala,2001
Azara's zorro,2009
African pied wagtail,2012
Guanaco,2004
Small-spotted genet,1998
Painted stork,2002
Lynx (african),2010
Potoroo,2004
Tortoise (indian star),2006
American bighorn sheep,1992
Tayra,2010
Galapagos albatross,2010
Otter (giant),2009
Camel (dromedary),1995
Adouri (unidentified),2011
Sable antelope,1990
Striped hyena,1997
Quail (gambel's),2005
Verreaux's sifaka,2004
Crowned hawk-eagle,1993
Southern lapwing,1998
Carmine bee-eater,1989
Platypus,1998
Badger (american),2008
American racer,2009
Stanley bustard,1995
Western spotted skunk,1994
Kiskadee (great),2011
Snowy owl,1993
Francolin (coqui),2002
Squirrel (antelope ground),1991
Mountain goat,2000
Groundhog,2000
White-necked raven,1992
Cockatoo (sulfur-crested),1975
Native cat,2010
Bustard (denham's),2001
Crocodile (nile),2009
Cockatoo (red-breasted),1988
Plover (blacksmith),1996
Skunk (striped),2006
Praying mantis (unidentified),2001
Hornbill (southern ground),2009
Pale white-eye,2007
Squirrel (eurasian red),1996
African bush squirrel,1999
Ground legaan,2008
Cat (kaffir),1992
Eastern dwarf mongoose,2000
Salmon (sockeye),1988
Starling (greater blue-eared),1995
Quoll (eastern),1994
Stilt (black-winged),1993
Monkey (rhesus),1967
Peacock (indian),2001
Common wombat,1990
Western spotted skunk,2007
African fish eagle,1995
Nine-banded armadillo,2002
Woodrat (unidentified),1986
Pie (rufous tree),2002
Yellow-billed stork,2000
Oriental short-clawed otter,1997
Canadian tiger swallowtail butterfly,1989
Tern (arctic),2001
Squirrel (palm),2010
Greater flamingo,2010
Blue waxbill,2009
Indian porcupine,2008
Saddle-billed stork,2009
Brush-tailed phascogale,2004
Snowy sheathbill,2000
Elegant crested tinamou,2004
Eagle (white-bellied sea),2005
Knob-nosed goose,2004
Snowy owl,2010
Common ringtail,1997
Squirrel (eastern fox),1998
Ibis (puna),1991
Green heron,1977
Kingfisher (white-throated),2005
Grenadier (purple),2009
Buffalo (asian water),2005
Falcon (prairie),2002
Smith's bush squirrel,1994
Savanna fox,1986
Ring-tailed lemur,1958
Stanley bustard,1991
Cat (cape wild),2010
Vulture (oriental white-backed),2006
Adouri (unidentified),1992
Hoffman's sloth,2012
Corella (long-billed),2010
Slender loris,2008
Kookaburra (laughing),2010
Fork-tailed drongo,1992
Leopard,2003
Australian pelican,1989
Puma,2000
Feral rock pigeon,1994
Quoll (eastern),1990
Striated heron,1999
Tiger snake,2012
Stork (saddle-billed),2008
Lark (horned),1960
Kingfisher (white-throated),1994
Eastern box turtle,2008
Red howler monkey,1994
Hyena (brown),2002
Sage grouse,2012
Swallow (unidentified),2007
Mallard,1999
White-winged black tern,1984
Ant (unidentified),1993
Common seal,1958
Purple moorhen,1998
Hartebeest (coke's),1998
Blackish oystercatcher,2011
Spectacled caiman,2002
White-winged dove,2007
Collared lemming,2001
Stilt (black-winged),1991
African elephant,1997
Coqui francolin,1999
Andean goose,2008
Blue-faced booby,2005
Waxbill (violet-eared),1989
Deer (barasingha),1992
Weaver (red-billed buffalo),2008
Chickadee (black-capped),1995
Pelican (brown),1995
Marmot (hoary),1996
Heron (grey),2004
Mongoose (yellow),2008
